conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date added or modified,Question_Type,QuestID - radio button or multi-answer format questions questions.
129084651,Survey,726699695,Background and Overall Health, , ,479353866,"Based on the information you provided when you enrolled in this study, you are [Age from Enrollment Questionnaire] years old today. Is that correct?",Age confirmation,SrvBOH_AgeCon_v1r0,AGECOR,Num,1,104430631,0 = No,,1=No,Yes,No, ,,,,, ,Required Multiple Choice, 
 , , , , , , , , , , , , ,353358909,1 = Yes,,2=Yes, , , ,,,,, , , 
129084651,Survey,726699695,Background and Overall Health, , ,150344905,How old are you today?,Age,SrvBOH_Age_v1r0,AGE,Num,2, ,N/A,, ,Yes,Yes, ,,,,, ,Text only Response, 
129084651,Survey,726699695,Background and Overall Health, , ,783167257,"Are you now married, widowed, divorced, separated, never married, or living with a partner?",Marital status,SrvBOH_Marital_v1r0,MARITAL,Num,2,514080822,0 = Never married,,1 = Never married,No,No, ,,,,, ,Optional Multiple Choice, 
 , , , , , , , , , , , , ,522680498,1 = Not married but living with partner,,2 = Not married but living with partner, , , ,,,,, , , 
 , , , , , , , , , , , , ,288321056,2 = Married,,3 = Married, , , ,,,,, , , 
 , , , , , , , , , , , , ,649436542,3 = Divorced,,4 = Divorced, , , ,,,,, , , 
 , , , , , , , , , , , , ,733527132,4 = Widowed,,5  = Widowed, , , ,,,,, , , 
 , , , , , , , , , , , , ,741094625,5 = Separated,,6 = Separated, , , ,,,,, , , 
 , , , , , , , , , , , , ,746038746,99 = Declined,,99 = Prefer not to answer, , , ,,,,, , , 
129084651,Survey,726699695,Background and Overall Health,384191091,"Which categories describe you? Select all that apply. Note, you may select more than one group.",583826374,American Indian or Alaska Native,American Indian or Alaska Native,SrvBOH_AlaskaNative_v1r0,0,Num,1,104430631,0=No,, ,No,No, ,,,,, ,Optional Select All that Apply,RACEETH
 , , , , , , , , , , , , ,353358909,1=Yes,, , , , ,,,,, , , 
129084651,Survey,726699695,Background and Overall Health,384191091,"Which categories describe you? Select all that apply. Note, you may select more than one group.",636411467,Asian/Asian American,Asian,SrvBOH_Asian_v1r0,1,Num,1,104430631,0=No,, ,No,No, ,,,,,12/27/21,Optional Select All that Apply,RACEETH
 , , , , , , , , , , , , ,353358909,1=Yes,, , , , ,,,,, , , 
129084651,Survey,726699695,Background and Overall Health,384191091,"Which categories describe you? Select all that apply. Note, you may select more than one group.",458435048,"Black, African American, or African","Black, African American, or African",SrvBOH_Black_v1r0,2,Num,1,104430631,0=No,, ,No,No, ,,,,, ,Optional Select All that Apply,RACEETH
 , , , , , , , , , , , , ,353358909,1=Yes,, , , , ,,,,, , , 
129084651,Survey,726699695,Background and Overall Health,384191091,"Which categories describe you? Select all that apply. Note, you may select more than one group.",706998638,"Hispanic, Latino, or Spanish","Hispanic, Latino, or Spanish",SrvBOH_Hispanic_v1r0,3,Num,1,104430631,0=No,, ,No,No, ,,,,, ,Optional Select All that Apply,RACEETH
 , , , , , , , , , , , , ,353358909,1=Yes,, , , , ,,,,, , , 
129084651,Survey,726699695,Background and Overall Health,384191091,"Which categories describe you? Select all that apply. Note, you may select more than one group.",973565052,Middle Eastern or North African,Middle Eastern or North African,SrvBOH_MENA_v1r0,4,Num,1,104430631,0=No,, ,No,No, ,,,,, ,Optional Select All that Apply,RACEETH
 , , , , , , , , , , , , ,353358909,1=Yes,, , , , ,,,,, , , 
129084651,Survey,726699695,Background and Overall Health,384191091,"Which categories describe you? Select all that apply. Note, you may select more than one group.",586825330,Hawaiian or other Pacific Islander,Hawaiian or other Pacific Islander,SrvBOH_Hawaiian_v1r0,5,Num,1,104430631,0=No,, ,No,No, ,,,,,12/27/21,Optional Select All that Apply,RACEETH
 , , , , , , , , , , , , ,353358909,1=Yes,, , , , ,,,,, , , 
129084651,Survey,726699695,Background and Overall Health,384191091,"Which categories describe you? Select all that apply. Note, you may select more than one group.",412790539,White,White,SrvBOH_White_v1r0,6,Num,1,104430631,0=No,, ,No,No, ,,,,, ,Optional Select All that Apply,RACEETH
 , , , , , , , , , , , , ,353358909,1=Yes,, , , , ,,,,, , , 
129084651,Survey,726699695,Background and Overall Health,384191091,"Which categories describe you? Select all that apply. Note, you may select more than one group.",807835037,Other |__|,None of these fully describe me. Please describe,SrvBOH_NoneRE_v1r0,55,Num,1,104430631,0=No,, ,No,No, ,,,,,9/23/21,Optional Select All that Apply,RACEETH
 , , , , , , , , , , , , ,353358909,1=Yes,, , , , ,,,,, , , 
129084651,Survey,726699695,Background and Overall Health,384191091,"Which categories describe you? Select all that apply. Note, you may select more than one group.",747350323,None of these race categories fully describe me. Please describe [text box],None of these fully describe me. Please describe [text box],SrvBOH_NoneDescribeRE_v1r0,RACEETH_TB,Char,300, ,N/A,, ,No,No, ,,,,,9/14/21,Optional Select All that Apply,RACEETH
129084651,Survey,726699695,Background and Overall Health,384191091,"Which categories describe you? Select all that apply. Note, you may select more than one group.",746038746,Declined,Prefer not to answer,SrvBOH_PrefNoAnsRE_v1r0,99,Num,1,104430631,0=No,, ,No,No, ,,,,,9/23/21,Optional Select All that Apply,RACEETH
 , , , , , , , , , , , , ,353358909,1=Yes,, , , , ,,,,, , , 
